player_name,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Charles Traore,55.0,60.67,52.0,30.0,45.0,33.0,29.0,67.0,38.0,40.0,29.0,39.0,64.0,57.0,56.0,57.0,65.0,27.0,62.0,59.0,55.0,32.0,55.0,51.0,47.0,39.0,45.0,59.0,65.0,64.0,13.0,9.0,11.0,12.0,7.0,DEF
Charles-Elie Leprevotte,57.0,68.0,52.0,53.0,40.0,59.0,46.0,61.0,50.0,42.0,46.0,62.0,67.0,66.0,69.0,51.0,67.0,61.0,50.0,53.0,49.0,52.0,52.0,38.0,54.0,58.0,48.0,35.0,39.0,36.0,10.0,7.0,7.0,6.0,5.0,MID
Charles,71.47,72.06,49.76,71.59,60.94,53.94,84.71,67.18,77.71,51.76,40.76,80.18,69.88,69.0,89.18,74.18,67.53,74.88,89.47,67.71,68.24,68.18,56.0,19.29,72.41,53.76,58.47,32.76,40.88,25.76,7.24,8.24,15.24,8.24,10.24,FW
Charlie Adam,74.06,76.26,79.0,70.48,65.81,79.94,72.97,71.42,77.74,77.1,80.39,75.81,58.81,57.29,64.23,69.06,69.39,77.94,68.42,65.87,73.97,77.55,75.48,61.06,69.97,82.58,77.94,51.58,60.97,57.0,7.94,8.71,20.94,7.97,8.0,MID
Charlie Austin,72.52,77.16,37.52,77.64,75.16,50.92,66.72,61.08,57.72,42.12,40.24,67.44,76.36,76.48,67.28,74.2,65.48,72.72,76.8,74.0,76.76,65.24,56.4,46.12,74.24,60.12,69.36,23.72,23.0,19.12,7.8,11.16,7.48,9.32,13.0,FW
Charlie Daniels,62.2,68.92,58.88,36.68,55.24,59.4,27.2,53.44,52.6,60.16,55.4,59.96,74.8,74.72,64.44,51.76,66.52,39.68,70.64,75.84,62.2,38.32,48.48,58.92,59.32,56.76,59.4,65.08,65.84,64.6,11.12,16.72,19.0,9.12,9.88,DEF
Charlie Davies,67.15,69.58,55.79,65.76,61.39,58.12,69.06,68.88,68.97,48.06,37.91,64.0,76.67,76.12,76.36,67.76,75.61,68.39,69.3,59.27,65.64,57.61,63.76,39.82,69.42,58.88,68.39,25.06,27.97,23.06,6.06,13.52,13.36,12.7,13.52,FW
Charlie I'Anson,62.0,71.0,44.0,44.0,55.0,55.0,47.0,47.0,44.0,38.0,54.0,43.0,67.4,62.0,62.0,60.0,55.6,47.0,62.0,59.0,59.6,51.0,67.0,62.0,34.0,36.0,39.0,66.0,66.0,67.0,13.0,12.0,14.0,6.0,12.0,DEF
Charlie Taylor,63.39,73.83,64.48,37.0,55.96,57.61,41.17,63.61,53.17,44.17,53.17,58.83,74.7,73.96,64.78,64.17,73.91,56.83,60.91,73.87,61.3,49.17,44.87,60.48,57.83,49.17,39.17,63.04,63.22,62.17,12.17,5.17,13.17,12.17,7.17,DEF
Charlie Trafford,58.0,64.75,44.0,42.0,46.0,62.0,39.0,49.0,36.0,42.0,65.0,50.0,67.0,62.0,58.0,62.0,44.0,51.0,60.0,70.0,71.0,51.0,59.0,56.0,58.0,60.0,41.0,39.0,49.0,46.0,14.0,5.0,8.0,7.0,7.0,MID
Charlison Benschop,70.66,75.68,57.42,71.11,67.79,62.16,59.53,67.37,50.45,55.66,48.34,68.29,66.45,76.21,56.16,68.74,48.42,83.37,43.0,72.21,89.03,62.82,67.29,26.82,67.95,59.79,64.29,28.47,42.26,25.24,13.55,15.74,8.32,9.29,11.13,FW
Charlton Vicento,64.15,71.23,57.69,63.23,48.62,54.31,62.0,66.62,56.0,51.38,44.69,63.77,82.08,84.92,81.15,60.77,66.85,56.92,65.23,59.62,64.15,57.08,43.62,29.31,59.08,54.15,54.38,21.0,25.0,25.0,9.85,10.69,16.31,13.0,14.54,FW
Charly Musonda,63.83,80.0,55.39,57.61,37.17,63.22,51.72,72.11,53.72,51.72,60.61,66.11,79.28,73.33,79.72,60.5,85.0,47.22,37.22,55.83,32.06,58.61,26.17,20.72,51.89,62.11,54.22,20.72,20.83,21.72,5.72,5.72,6.72,7.72,8.72,MID
Charni Ekangamene,58.23,66.92,52.77,42.46,50.38,63.23,38.62,59.85,39.38,33.38,57.08,62.38,74.0,68.46,69.77,58.31,68.77,54.85,66.54,58.62,60.0,46.62,54.31,51.31,49.62,57.54,54.38,52.69,54.92,53.31,7.38,7.38,9.38,12.38,10.38,MID
Chavdar Yankov,68.11,74.22,66.56,60.33,48.44,70.33,61.22,70.0,56.44,65.56,72.0,72.67,64.11,70.89,58.67,65.89,66.89,64.0,68.44,70.33,66.67,62.44,62.67,72.22,62.11,63.56,64.22,57.22,66.11,62.56,10.11,16.78,47.33,13.67,16.78,MID
Ched Evans,65.11,74.56,45.0,66.22,62.67,55.67,64.78,63.22,56.0,56.33,52.56,64.11,76.0,73.44,65.0,60.33,62.78,67.11,75.0,70.11,70.67,55.67,63.67,44.67,59.0,64.0,59.89,41.33,48.33,44.33,6.78,17.44,32.56,16.11,14.78,FW
Cheick Diabate,72.21,77.88,43.38,77.17,75.54,65.71,69.25,66.46,55.12,47.38,53.17,69.96,66.75,67.92,59.5,70.21,50.62,73.5,70.88,69.62,77.54,62.88,64.71,26.42,72.29,51.79,68.71,20.54,18.88,17.71,4.92,11.83,12.0,10.25,10.25,FW
Cheick Doukoure,59.77,71.0,50.62,49.77,55.38,62.0,50.54,59.15,40.54,42.08,55.46,56.92,61.15,62.0,58.31,58.46,60.08,57.77,54.15,71.62,65.69,59.77,57.15,60.23,50.0,55.15,40.38,53.46,58.23,60.54,12.38,15.62,19.0,11.38,12.23,DEF
Cheik Tiote,76.17,79.54,60.96,53.71,62.38,75.46,65.0,71.04,40.12,40.96,66.17,75.38,74.42,71.92,77.75,74.75,74.83,70.54,77.0,86.5,83.25,59.17,87.33,77.17,63.04,70.5,52.42,76.25,79.75,78.46,6.38,8.29,19.92,10.5,10.46,DEF
Cheikh Mbengue,70.1,77.5,66.6,33.35,62.15,68.85,19.3,57.3,67.15,31.75,63.95,64.15,77.35,75.5,72.5,70.2,69.8,45.75,72.85,71.5,69.5,24.75,76.9,66.0,52.15,57.6,35.45,71.7,72.0,76.6,12.1,12.0,25.0,14.8,11.3,DEF
Cheikh Ndoye,69.25,69.92,59.08,61.58,79.75,66.33,36.42,59.67,42.0,41.75,59.58,62.33,56.17,57.0,48.92,75.83,43.0,72.75,74.5,82.08,91.25,67.58,78.42,69.75,67.33,58.25,44.75,66.67,73.0,55.33,7.42,12.42,13.42,14.42,7.42,DEF
Cheikhou Kouyate,72.09,78.09,49.44,55.76,76.68,65.62,49.03,61.85,39.97,46.97,61.79,67.32,72.71,82.09,65.21,71.79,60.74,70.97,77.06,86.74,85.47,58.5,76.91,69.74,60.32,59.94,51.91,65.29,74.94,72.15,13.74,8.85,12.91,12.38,9.74,DEF
Chema,63.82,67.29,15.18,19.18,18.94,29.82,17.76,19.88,18.0,18.65,38.65,21.0,46.0,48.0,52.0,65.35,60.53,39.65,61.18,35.65,72.0,14.82,59.76,33.59,15.24,37.12,36.24,17.12,14.12,16.12,64.82,59.76,55.71,61.18,69.59,GK
Chengdong Zhang,66.85,71.69,58.08,63.77,71.92,63.23,50.62,66.08,56.77,53.69,43.38,66.46,72.69,75.46,70.54,67.85,69.31,65.54,82.69,71.92,70.31,57.08,63.0,51.0,70.62,55.38,62.77,31.15,32.15,55.92,7.0,14.0,6.0,8.0,7.0,MID
Chico,73.89,77.22,21.28,20.0,68.89,62.28,19.67,46.39,27.0,32.83,51.5,59.22,63.94,69.44,63.22,72.61,60.0,41.83,73.5,69.72,81.72,51.83,81.17,75.44,47.28,55.0,42.67,77.17,73.0,75.39,6.72,10.61,20.17,14.94,14.94,DEF
Chidozie Awaziem,66.86,80.43,30.0,30.0,61.43,56.71,30.0,47.0,33.0,25.0,42.0,50.86,66.29,70.0,58.86,65.71,51.43,56.0,71.57,68.43,75.43,34.0,66.14,70.71,28.0,30.0,40.0,63.29,71.43,66.57,12.0,5.0,11.0,14.0,13.0,DEF
Chinedu Ede,65.45,72.05,59.09,58.59,48.86,62.32,57.73,68.59,69.82,55.64,50.45,65.95,85.86,88.18,77.14,58.82,69.55,64.45,71.36,62.91,61.86,54.27,44.05,33.73,57.05,57.05,55.23,13.55,16.09,14.45,14.18,16.32,15.23,13.18,16.36,MID
Chinedu Obasi,74.12,78.0,70.69,74.81,67.15,71.58,71.42,80.5,65.92,67.12,51.85,78.69,80.38,82.46,78.92,75.88,65.19,76.5,67.46,64.58,67.81,64.81,58.0,47.81,73.46,58.23,63.12,23.0,24.73,19.85,7.08,11.46,18.15,12.0,13.65,FW
Chiro N'Toko,62.86,65.43,41.0,34.0,64.0,58.71,36.0,54.14,57.29,41.0,60.0,58.43,58.29,63.43,60.43,59.29,53.43,62.0,55.0,66.86,79.43,56.0,64.0,59.71,38.0,46.29,52.0,65.0,61.29,58.0,9.0,5.0,10.0,8.0,10.0,DEF
Chris Baird,71.53,72.63,66.0,41.47,74.43,71.8,58.0,57.43,43.2,56.0,64.63,64.67,64.77,58.6,60.33,72.53,72.07,69.33,81.33,75.9,69.1,53.87,73.17,73.93,44.27,63.03,54.3,73.7,72.7,75.23,12.4,11.3,14.33,8.3,14.63,DEF
Chris Basham,65.05,70.1,56.2,50.4,67.2,69.0,61.5,58.15,48.55,57.8,64.5,61.05,64.1,68.1,60.8,54.1,64.35,70.65,60.5,71.8,65.5,66.25,72.2,69.05,48.15,60.8,51.55,61.15,65.6,69.0,11.95,15.55,16.25,9.15,8.35,DEF
Chris Brunt,72.46,76.18,82.96,63.46,58.61,76.61,57.18,72.82,82.18,77.96,75.39,72.71,68.46,64.96,66.43,68.96,61.57,81.93,76.0,66.21,61.36,78.07,63.21,53.75,64.82,71.18,73.43,49.11,54.75,41.71,10.18,13.46,19.04,16.04,8.79,MID
Chris Chantler,58.8,68.0,61.8,43.8,50.0,64.0,37.0,47.0,48.0,48.0,48.0,60.0,78.0,74.4,76.8,53.0,73.0,59.0,72.4,68.6,56.0,57.0,57.0,60.0,46.0,48.0,49.0,50.0,60.0,55.8,6.0,12.0,9.0,10.0,8.0,DEF
Chris Clark,62.55,65.55,61.18,55.18,39.91,63.91,53.36,61.45,58.0,58.0,61.73,62.55,70.82,71.36,54.64,52.91,66.45,57.09,59.73,71.09,66.73,45.64,32.82,57.09,62.36,57.09,59.18,43.91,55.64,48.09,7.91,14.82,32.18,12.55,11.36,MID
Chris Eagles,70.92,74.92,73.33,66.88,39.75,67.17,65.17,74.17,70.33,76.12,65.21,73.12,76.88,76.5,77.42,59.58,70.75,73.25,57.0,65.12,57.29,72.21,52.5,42.33,63.0,68.04,61.42,23.71,32.92,27.0,13.42,14.71,22.58,15.21,10.08,MID
Chris Erskine,61.85,64.38,55.23,62.62,60.08,56.92,57.54,67.77,56.77,35.08,49.0,65.92,71.54,71.69,71.0,60.08,57.0,62.46,61.0,68.15,64.92,59.62,43.38,24.08,55.38,61.08,48.08,28.08,21.08,27.08,10.08,7.08,15.08,13.08,10.08,FW
Chris Gunter,68.34,72.83,67.28,40.79,58.55,63.17,55.24,58.52,58.72,22.24,59.72,63.69,71.97,71.97,71.0,68.9,70.28,45.17,70.59,77.66,65.55,40.83,69.59,66.52,62.31,60.83,47.62,66.55,69.66,72.31,9.79,11.1,23.97,17.17,11.86,DEF
Chris Herd,65.89,70.78,55.17,50.64,62.14,63.75,42.97,57.89,50.92,37.58,66.11,63.72,73.61,72.03,71.03,63.06,71.39,68.89,78.97,70.44,69.14,59.36,81.06,62.72,47.39,54.53,55.67,61.58,64.86,62.75,11.19,10.75,19.25,16.08,15.19,DEF
Chris Hogg,64.91,69.64,31.45,17.73,70.0,50.27,11.0,46.0,21.0,29.27,49.0,58.82,62.36,64.09,65.18,65.82,65.18,42.0,69.09,66.45,69.45,39.0,62.45,60.64,31.36,53.0,36.73,66.0,66.91,59.27,5.09,11.64,27.73,12.55,13.45,DEF
Chris Humphrey,62.6,65.96,62.8,50.84,35.84,56.56,32.16,64.84,61.16,44.2,41.92,58.92,86.48,89.56,84.04,58.88,69.32,55.08,66.2,78.2,63.84,50.08,42.08,28.16,56.72,63.76,42.0,23.8,25.84,24.04,13.04,13.44,12.52,8.4,10.08,MID
Chris Iwelumo,65.74,67.0,44.04,67.7,75.0,63.26,65.48,59.13,51.78,41.13,42.22,65.57,45.57,44.96,50.04,68.35,55.43,72.09,65.61,62.65,81.17,59.13,65.74,47.39,66.22,53.7,73.52,22.0,22.22,20.0,6.52,14.74,19.3,10.35,9.65,FW
Chris Killen,68.38,70.38,46.69,72.54,77.15,62.62,63.08,67.54,42.0,26.23,48.69,65.31,64.15,64.38,58.23,62.08,71.92,73.77,81.46,71.54,70.15,58.0,58.92,52.23,65.15,63.08,64.69,16.77,25.54,13.0,9.62,16.69,31.77,12.46,12.15,FW
Chris Kirkland,72.04,73.46,17.92,20.58,20.58,26.15,16.65,17.5,16.65,17.54,27.08,25.5,47.15,50.46,41.54,64.77,45.19,22.77,79.46,46.31,63.42,18.65,45.62,28.92,21.85,36.27,23.0,21.92,19.35,17.85,73.12,73.42,69.08,70.62,73.35,GK
Chris Loewe,70.41,74.35,74.71,53.0,57.53,68.53,49.88,68.71,71.35,67.71,66.47,70.59,86.12,84.35,78.94,70.12,78.76,73.47,73.35,79.41,58.41,64.47,66.71,67.06,62.53,59.29,56.65,65.71,70.71,68.53,13.29,11.29,7.29,7.29,11.29,DEF
Chris Makiese,60.75,70.62,42.0,58.62,58.0,45.38,60.0,56.62,43.0,53.0,35.88,55.62,71.5,74.0,72.0,68.88,64.38,62.5,70.0,61.5,66.5,51.88,45.62,39.25,51.5,59.0,50.88,19.88,20.62,28.0,10.88,18.75,22.38,17.25,15.88,FW
Chris Malonga,65.56,71.0,62.61,60.28,59.33,61.33,61.33,66.67,60.33,68.94,55.0,64.33,79.33,83.0,76.0,74.67,62.0,67.67,73.33,68.83,60.67,59.17,54.83,29.72,64.94,59.39,63.44,13.22,17.11,14.44,5.11,10.11,23.0,11.67,11.67,FW
Chris Martin,67.36,72.36,29.82,71.79,59.36,52.45,68.58,64.58,62.91,63.82,32.48,66.82,70.85,69.18,69.27,63.21,70.55,69.94,68.55,66.55,68.64,60.55,60.27,45.94,69.52,67.58,69.97,24.48,33.64,33.09,5.64,8.82,12.18,12.09,10.45,FW
Chris Mavinga,68.47,75.47,66.47,40.88,69.12,67.71,27.12,65.53,32.94,21.18,63.29,68.88,78.88,80.82,67.41,60.0,65.47,54.88,73.06,68.47,69.53,27.65,67.94,65.0,40.41,59.06,32.88,65.12,71.24,71.0,8.18,14.18,6.18,11.18,13.18,DEF
Chris McCann,67.18,70.86,61.36,58.07,64.75,68.54,50.29,67.14,22.04,41.96,65.32,66.64,67.61,68.32,62.0,73.29,65.61,65.96,79.79,81.5,74.57,53.29,74.21,62.93,59.39,71.5,51.32,45.39,59.43,55.89,13.11,9.36,23.0,12.79,8.71,MID
Chris Millar,61.32,61.84,62.58,27.37,36.11,62.58,29.37,62.63,62.16,57.21,58.84,62.37,69.68,66.05,70.68,59.74,70.63,39.95,72.16,66.58,64.11,40.11,55.68,56.05,59.74,63.37,26.84,51.68,65.68,60.89,13.95,15.47,13.26,16.32,11.26,DEF
Chris Porter,63.92,65.62,40.08,65.15,67.19,61.35,62.5,58.96,45.08,49.81,48.77,60.65,62.88,62.5,59.35,59.62,62.81,65.31,75.42,69.12,71.73,54.73,49.0,42.04,64.04,57.27,67.77,32.92,29.15,30.08,12.77,9.73,10.38,15.12,12.35,FW
Chris Riggott,70.12,73.38,37.0,35.0,76.38,57.75,33.0,43.75,43.0,39.0,39.5,59.75,63.0,66.25,54.0,65.62,63.0,44.0,79.0,70.25,73.0,39.5,72.75,70.25,61.88,55.62,50.75,68.25,70.12,64.88,15.0,5.5,23.5,5.12,9.25,DEF
Chris Robertson,60.0,62.39,41.0,40.0,61.67,43.11,39.61,41.0,38.0,42.67,40.72,43.83,54.11,57.67,57.61,55.67,55.11,59.39,77.94,67.0,70.17,31.0,63.33,60.44,34.78,55.67,35.22,57.28,61.56,59.94,12.72,12.17,8.61,10.39,7.72,DEF
Chris Smalling,76.95,82.35,51.05,21.54,78.32,67.46,28.43,55.89,26.38,24.95,53.73,63.51,73.38,74.86,55.16,77.3,49.92,42.14,72.16,75.46,76.49,21.16,75.62,77.51,28.68,50.95,52.11,80.24,80.97,78.86,8.54,15.16,18.19,15.16,15.16,DEF
Chris Smith,61.43,66.0,13.43,10.71,11.0,10.57,12.0,19.43,8.0,13.0,34.14,23.29,31.0,22.0,49.0,55.0,46.0,41.0,72.0,52.0,66.0,18.0,24.0,22.0,15.0,27.0,22.0,14.0,8.0,9.0,61.29,59.71,56.71,63.0,64.14,GK
Chris Turner,57.78,67.89,56.89,38.67,57.11,55.89,39.0,52.56,58.0,56.22,55.33,57.0,62.56,65.11,64.0,55.78,62.33,59.33,61.33,68.0,62.67,59.44,65.0,58.11,56.11,60.33,56.89,57.11,57.78,58.0,15.0,17.0,30.33,13.11,13.11,MID
Chris,73.85,75.31,39.46,32.0,76.38,70.77,31.38,50.46,52.0,25.38,66.08,69.46,61.38,59.23,62.23,71.08,64.46,62.15,68.62,60.08,75.92,42.08,69.23,71.08,49.38,67.46,64.0,76.69,76.54,73.31,9.62,11.69,27.54,17.0,16.46,DEF
Christ Mbondi,57.0,67.0,33.0,59.0,57.0,50.0,47.0,62.0,39.0,36.0,29.0,60.0,70.0,69.0,65.0,54.0,66.0,58.0,63.0,53.0,71.0,43.0,33.0,19.0,48.0,35.0,51.0,14.0,25.0,20.0,7.0,6.0,12.0,6.0,10.0,FW
Christiaan Kum,66.4,68.45,50.15,33.1,63.75,58.1,32.05,55.15,34.65,33.7,58.85,56.0,69.35,70.55,64.7,63.95,66.6,60.05,75.55,68.0,69.25,44.1,79.35,65.7,39.2,55.45,46.65,64.45,65.15,68.85,9.65,12.65,24.2,14.15,15.65,DEF
Christian Abbiati,78.76,80.03,19.03,18.59,18.48,35.52,15.72,19.03,15.31,18.28,43.9,25.66,48.55,46.83,55.83,71.55,55.52,36.24,74.52,44.55,68.17,19.93,37.48,28.69,26.34,31.66,36.07,18.34,18.59,16.97,81.62,75.66,71.21,79.69,81.38,GK
Christian Alfonso,66.0,73.53,57.0,61.89,31.16,66.0,45.0,74.95,67.84,43.0,62.21,71.58,77.26,70.26,77.89,62.37,65.0,50.89,62.89,54.32,54.74,59.0,44.0,27.0,67.68,57.74,40.26,36.0,35.0,33.0,5.0,13.0,11.0,14.0,7.0,MID
Christian Atsu,74.93,81.59,69.48,65.96,48.89,69.33,56.52,80.41,68.33,42.93,60.11,74.67,93.37,89.93,87.7,74.15,91.22,70.19,67.33,63.78,47.33,64.41,46.78,28.52,72.59,66.11,70.04,23.48,25.41,21.11,12.26,11.26,11.26,9.26,8.26,MID
Christian Bekamenga,68.0,70.37,50.74,70.16,69.79,62.32,62.11,64.0,58.26,42.11,45.16,63.05,75.0,71.79,76.0,59.47,58.16,71.68,78.16,64.05,78.95,61.74,49.53,41.42,68.47,65.11,43.37,24.16,23.11,23.53,12.11,7.11,14.74,12.11,13.11,FW
Christian Benteke,74.0,81.89,51.11,73.96,76.89,63.86,64.46,69.57,52.5,49.29,43.93,73.89,75.43,77.79,68.68,67.54,52.29,77.43,79.18,75.54,87.21,66.29,66.89,33.11,70.64,68.29,70.11,21.71,31.32,21.57,11.68,7.86,15.71,10.32,7.86,FW
Christian Brocchi,73.94,76.12,72.75,40.12,58.81,78.0,66.38,68.56,64.0,62.56,75.19,75.06,68.44,61.0,65.94,70.75,79.0,79.94,65.88,63.62,71.0,77.06,82.12,72.69,69.19,73.19,60.56,67.88,76.69,75.56,6.38,15.5,26.12,10.94,15.19,DEF
Christian Bruels,69.65,72.76,67.06,57.53,53.65,68.59,63.29,73.24,76.29,68.82,66.12,71.47,75.35,77.76,78.47,66.12,68.41,69.88,45.76,69.06,59.24,66.41,50.65,34.53,65.65,69.65,62.82,27.71,36.59,33.18,6.18,7.18,14.18,7.18,8.18,MID
Christian Clemens,71.12,76.65,68.08,66.23,67.12,71.62,58.81,73.04,73.88,65.19,67.15,70.42,79.92,81.65,73.54,68.77,68.38,72.92,65.04,68.31,60.65,71.96,57.92,51.81,70.92,69.08,52.58,28.12,41.58,34.46,14.73,6.73,15.73,15.04,6.73,MID
Christian Daniel Ledesma,79.04,81.08,68.42,59.23,59.27,85.0,72.73,73.12,81.35,79.27,85.15,81.85,65.31,63.81,71.54,78.46,73.04,79.81,65.85,75.23,71.04,80.88,78.31,76.19,70.0,85.35,79.58,62.19,69.38,69.04,9.19,10.15,27.42,8.58,7.81,MID
Christian Dorda,62.63,68.84,58.0,19.63,58.21,62.42,41.0,54.26,56.58,33.32,54.68,59.21,67.11,66.53,63.84,61.53,61.42,49.37,68.32,68.63,66.89,24.89,61.05,60.63,40.47,43.0,44.0,61.68,65.84,65.16,12.16,10.95,14.16,15.68,9.37,DEF
Christian Eichner,71.55,74.18,72.91,37.45,67.18,70.55,46.0,65.27,59.0,43.64,70.0,69.73,69.64,67.0,67.55,73.18,71.09,69.27,69.09,74.18,69.55,64.18,67.91,71.09,62.73,65.73,64.91,70.36,72.36,76.0,6.0,15.36,27.36,13.0,14.73,DEF
Christian Eigler,69.76,72.18,61.82,69.94,73.41,63.65,66.29,63.29,57.71,54.0,54.71,65.88,76.76,80.29,59.12,67.82,70.12,73.0,68.0,70.0,75.29,62.47,64.53,37.18,66.88,53.0,63.65,19.29,25.41,22.18,7.71,12.12,19.76,9.88,15.24,FW
Christian Eriksen,79.82,87.55,78.15,69.58,50.24,81.67,68.42,81.42,83.18,78.88,78.21,84.21,82.03,78.06,80.52,77.03,75.52,75.36,58.42,82.06,48.0,73.85,37.91,45.52,74.0,83.15,65.67,35.09,44.61,22.24,8.91,14.73,12.18,8.36,7.45,MID
Christian Fernandez,65.83,66.91,64.61,52.48,70.83,61.96,45.13,59.04,57.13,57.87,63.52,63.83,65.3,69.35,74.61,69.13,67.17,58.57,78.7,73.74,68.91,50.13,68.83,65.22,58.96,52.26,54.61,58.61,65.48,65.35,14.09,9.87,25.3,10.52,10.13,DEF
Christian Fuchs,73.45,74.98,84.57,54.48,73.81,74.98,58.86,65.95,84.6,81.36,69.17,72.19,68.48,72.38,66.07,71.83,64.4,79.81,71.81,76.52,75.93,75.5,77.14,70.24,68.45,68.33,65.48,65.86,72.38,70.29,12.69,12.36,19.55,15.71,13.14,MID
Christian Gentner,75.76,78.36,71.76,68.36,74.64,79.96,62.24,69.4,67.88,53.48,77.4,75.36,67.36,70.24,55.24,75.12,62.32,76.84,64.04,82.04,77.32,76.24,70.32,72.6,71.48,75.32,65.32,67.76,71.96,71.8,13.12,11.56,27.36,8.44,9.36,MID
Christian Gomez,66.41,72.12,46.0,52.0,47.0,72.65,46.0,53.41,61.47,57.12,70.18,68.76,57.76,61.0,63.88,64.0,56.0,78.53,67.0,74.71,65.0,66.18,65.0,62.0,60.18,71.06,55.0,38.82,56.76,48.65,5.0,8.0,11.0,11.0,8.0,MID
Christian Grindheim,69.33,71.25,64.64,52.17,61.5,71.83,64.67,62.81,64.92,69.0,69.11,70.44,58.92,61.47,52.53,71.39,73.81,76.25,66.36,77.22,76.44,68.19,76.22,71.36,68.36,72.44,50.42,47.92,57.58,49.86,7.75,7.33,18.58,11.33,15.53,MID
Christian Guenter,66.93,74.34,65.98,30.41,56.95,64.73,32.02,65.37,57.49,50.32,55.78,64.44,74.0,76.73,64.59,65.95,63.76,58.15,58.88,70.9,71.9,39.68,73.73,64.1,46.9,43.73,39.8,64.59,69.66,67.73,8.12,14.12,8.12,7.12,13.12,DEF
Christian Irobiso,60.33,69.5,34.5,69.0,66.5,52.0,49.0,54.0,38.5,32.0,40.5,59.5,52.5,58.33,56.5,56.5,52.0,62.33,63.5,65.0,65.5,52.5,62.0,24.5,59.0,48.0,67.83,22.0,21.5,23.67,7.5,13.0,9.5,12.0,11.0,FW
Christian Kabasele,70.73,75.12,46.42,42.27,70.46,55.69,43.42,55.92,26.12,26.42,52.19,61.31,74.65,78.0,68.54,65.19,59.69,58.27,74.69,68.54,81.5,43.42,76.42,64.27,40.35,35.42,39.27,71.0,71.04,73.65,13.42,10.42,5.42,13.42,15.42,DEF
Christian Kalvenes,64.1,66.1,50.0,23.0,66.9,60.8,44.0,17.0,54.0,22.8,55.8,58.6,66.1,63.5,72.0,52.6,71.2,60.0,74.0,69.4,81.1,40.0,80.5,62.0,55.5,53.0,33.0,63.3,66.8,65.0,10.5,14.5,31.8,15.5,17.1,DEF
Christian Kinkela,66.07,66.4,65.47,56.47,57.13,64.73,59.93,61.67,59.93,57.33,60.33,62.4,77.2,78.67,79.13,67.47,72.8,61.67,48.93,71.33,57.33,59.6,62.47,43.0,70.6,64.33,55.33,21.47,26.87,22.87,11.2,12.6,17.4,15.0,15.8,MID
Christian Leite,59.0,59.0,25.0,25.0,25.0,26.0,20.0,25.0,25.0,20.0,21.0,22.0,48.0,42.0,34.0,50.0,53.0,22.0,54.5,29.0,73.0,25.0,25.0,25.0,25.0,25.0,23.0,25.0,25.0,25.0,64.0,57.0,57.0,53.0,65.0,GK
Christian Lell,71.89,76.28,68.94,43.33,66.39,66.0,39.67,62.44,43.0,43.61,62.5,62.22,81.67,84.83,60.0,71.61,68.89,63.17,70.56,80.44,74.89,45.89,81.39,68.61,63.17,61.39,46.11,68.5,75.78,73.39,12.72,11.33,24.33,15.72,10.56,DEF
Christian Maggio,77.16,78.11,79.59,68.24,77.95,77.24,78.41,74.51,69.86,55.76,75.24,76.89,79.35,83.22,74.0,77.11,67.76,77.57,89.65,86.35,76.41,73.16,76.22,69.14,74.81,70.68,59.43,69.35,77.43,78.03,8.43,7.0,17.57,12.11,10.41,DEF
Christian Mathenia,65.16,72.05,22.37,21.58,22.11,30.26,22.63,22.37,22.37,22.37,24.63,21.53,47.0,44.0,35.0,65.58,39.0,26.63,65.58,45.0,69.0,22.37,29.26,23.42,22.37,27.63,22.26,21.84,21.58,21.58,66.47,63.26,62.21,64.63,67.11,GK
Christian Nade,65.0,69.5,57.0,63.38,70.0,55.62,68.0,67.5,62.0,24.5,45.75,62.75,53.5,57.12,53.0,58.25,63.0,74.12,66.0,62.0,84.5,61.62,60.5,22.25,65.5,45.0,61.0,16.75,16.75,13.0,13.0,9.0,25.12,8.0,14.0,FW
Christian Obodo,71.8,75.13,65.87,56.93,61.13,74.27,65.47,68.4,55.87,61.4,73.0,73.13,71.33,72.07,71.33,68.67,73.53,77.67,63.53,72.87,77.47,68.67,78.47,73.0,69.53,69.6,64.4,66.47,73.27,69.13,6.07,15.6,36.67,13.53,14.0,MID
Christian Pander,74.9,77.48,86.52,51.29,67.62,75.43,68.14,72.81,86.43,84.57,74.86,75.62,74.24,73.38,64.29,75.52,67.05,87.9,68.0,71.9,75.24,83.38,74.05,72.19,69.33,62.48,69.0,71.38,75.57,75.43,14.71,15.0,27.86,11.38,9.9,DEF
Christian Pouga,66.19,67.94,49.12,67.75,74.88,62.31,53.19,61.69,54.19,57.38,56.56,65.19,46.56,54.56,35.06,65.56,44.94,72.56,29.5,39.19,87.06,59.25,77.19,30.75,68.0,60.19,57.44,22.06,26.69,25.19,9.19,8.19,14.44,10.19,10.19,MID
Christian Poulsen,75.07,76.96,56.59,42.22,71.59,76.85,45.67,60.15,63.0,55.63,73.22,72.78,52.67,52.3,58.63,71.44,65.48,65.04,75.37,75.11,75.44,65.78,86.04,78.0,56.41,66.26,52.26,72.96,77.59,73.41,10.33,14.19,27.96,14.41,12.89,DEF
